model,version,description,strategy,count,count_with_bertscore,bertscore_mean,bertscore_std,bleu_mean,bleu_std,sari_mean,sari_std,perplexity_mean,perplexity_std,lens_mean,lens_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean,phase,experiment_group,retrieval
gpt-4o-mini,v3,E5-RAG-full,constraint,40,40,0.889569063484669,0.021270448651976,0.152357143310268,0.0712115726991305,42.8474984851908,5.13323284242444,27.9803720474243,5.30514788831138,72.3924079762855,6.51779713425074,-4.48668475779179,1.45073918456134,16.3957640219701,6.19718106088513,7.06557537130499,69.034617039846,E5 RAG v3,E5-RAG,e5
gpt-4o-mini,v3,E5-RAG-full,structured,40,40,0.874828554689884,0.0156166639757141,0.0849552711237516,0.0461510082451834,38.9260135626801,4.03660911543036,26.2973499774933,3.95218116131674,74.996956716954,6.52925550556198,-4.30204717763472,1.63702831000418,15.2881832003501,6.62768721402697,7.25021295146206,67.9270362182261,E5 RAG v3,E5-RAG,e5
gpt-4o-mini,v3,E5-RAG-full,zeroshot,40,40,0.88213576823473,0.0188618189864179,0.117387433096798,0.0559056186284612,41.2136500751007,4.78984951128827,25.8748385906219,6.01039375364536,72.0592724847917,8.4618996535555,-4.73937597389428,1.75766124107804,16.9759315835723,7.39075859280025,6.8128841552025,69.6147846014482,E5 RAG v3,E5-RAG,e5
gpt-4o-mini,v3,step 2 - RAG top k=3 with upgrated prompt,constraint,40,40,0.892079703509808,0.01768264511142,0.157813371279111,0.0738308559682797,43.2475340022736,4.5469707316009,26.6697216510773,4.916912303779,71.5325605731359,6.81849457410531,-4.41874529019496,1.37162893146776,16.4063295419496,5.91390741639303,7.13351483890182,69.0451825598255,Open AI RAG v3,OpenAI-RAG-v3,openai
gpt-4o-mini,v3,step 2 - RAG top k=3 with upgrated prompt,structured,40,40,0.874363331496716,0.0159920022340564,0.0819628907933073,0.0429090371412894,38.7505978756815,4.20595130003773,26.1242065429688,4.57508191805627,76.3316913701979,5.60602785952374,-4.33620649080392,1.38468130970216,15.3286716416376,5.82757535605394,7.21605363829286,67.9675246595136,Open AI RAG v3,OpenAI-RAG-v3,openai
gpt-4o-mini,v3,step 2 - RAG top k=3 with upgrated prompt,zeroshot,40,40,0.881358651816845,0.0170193610571367,0.108423024526987,0.0572334844412448,40.7254321079686,4.83998968997661,26.560794711113,5.45321817588778,71.7447614789824,7.14418310095892,-4.84963236419804,1.43281808267309,17.5439879038723,5.86295389538779,6.70262776489875,70.1828409217482,Open AI RAG v3,OpenAI-RAG-v3,openai
llama3.2,v1,step 1 - simple prompt engineering,constraint,189,189,0.853160759128591,0.0111186940318554,0.0328070567929388,0.0207582988254406,34.2021644848234,3.31952168794659,31.1917135753329,9.74543288798039,69.447909340271,10.2912273294577,-4.19031452315231,1.94181382328546,16.7515512324015,8.75008138582148,7.06737035568109,70.0606715494885,PE_v1,PE-v1,none
llama3.2,v1,step 1 - simple prompt engineering,structured,189,189,0.845028754895326,0.0113322324806485,0.0376326172793662,0.0230240521683888,34.1293199461396,3.20479603322852,26.8353888597438,6.87105804690458,64.7187244179605,13.8036044746933,-3.01580680220788,2.28081167234223,11.2593747015817,9.99872908464967,8.24187807662551,64.5684950186687,PE_v1,PE-v1,none
llama3.2,v1,step 1 - simple prompt engineering,zeroshot,189,189,0.849663699745501,0.0105230322786785,0.0321627410374018,0.0193658492533879,34.0368986227363,3.1793796750973,24.3047611801713,5.51674040751083,73.9136697599384,7.87463418114526,-3.40862123615855,1.89791823974218,14.5926444645229,8.67073244049492,7.84906364267485,67.9017647816099,PE_v1,PE-v1,none
llama3.2,v1,step 2 - RAG top k=3,constraint,40,40,0.795478187501431,0.00902332078099127,0.00280338004157874,0.00231534354877845,28.6233056534008,2.72306782326442,24.3571670293808,11.4390744326149,37.1557036205442,14.494808792133,2.41850345772108,4.83935266027462,-16.3688339431449,18.9520251049529,13.9707635868179,36.2700190747311,Open AI RAG v2,OpenAI-RAG-v2,openai
